Url_path,Title,Desc
https://www2.hm.com/en_us/productpage.1178605001.html,Net Pouch Bag,"Net bag with drawstring pouch in woven fabric. Two chunky, twisted handles at top. Depth 3 1/4 in. Height 13 in. Width 13 3/4 in."
https://www2.hm.com/en_us/productpage.1149247001.html,Crop Denim Jacket,"Loose-fit, trucker-style crop jacket in cotton denim. Collar, buttons at front, and yoke at front and back. Dropped shoulders, button at cuffs, and chest pockets with flap and button."
https://www2.hm.com/en_us/productpage.1152458003.html,Baggy Regular Jeans,"Loose-fit, 5-pocket jeans in non-stretch cotton denim. Regular waist, zip fly with button, and dropped gusset. Straight, extra-long legs."
https://www2.hm.com/en_us/productpage.1171571001.html,Jersey Crop Pants,"Crop pants in soft viscose jersey. Regular waist, concealed elastic at waistband, and straight legs."
https://www2.hm.com/en_us/productpage.1167392001.html,Fringe-trimmed Silk Top,"Sleeveless top in silk. Round neckline, concealed zipper at back, and raw, fringe trim at neckline, armholes, and hem."
https://www2.hm.com/en_us/productpage.1155258006.html,Flared Pants,"Pants in woven, viscose-blend fabric. Zip fly with button, diagonal side pockets, and gently flared hems."
https://www2.hm.com/en_us/productpage.1154494002.html,V-neck Tank Top,Tank top in soft viscose jersey. Low-cut V-neck at front and back. Lined at top.
https://www2.hm.com/en_us/productpage.1172404003.html,Mini Skirt,Fitted mini skirt in woven fabric. Regular waist and concealed zipper at back. Lined.
https://www2.hm.com/en_us/productpage.1066926011.html,Oversized Resort Shirt,"Short, oversized shirt in softly draped, woven viscose fabric. Resort collar, buttons at front, dropped shoulders, and short, wide, elbow-length sleeves. Unlined."
https://www2.hm.com/en_us/productpage.1110112004.html,Short Denim Jacket,"Short jacket in thick cotton denim. Collar, metal buttons at front, and yoke at front and back. Gently dropped shoulders, button at cuffs, chest pockets with flap and button, and discreet welt front pockets. Unlined."
https://www2.hm.com/en_us/productpage.1174909001.html,Balloon-sleeved Satin Blouse,"Fitted blouse in softly draped satin. Lace-trimmed V-neck, shaped, gathered cups, and buttons at front. Narrow ties at back of waist for a defined silhouette. Long balloon sleeves with narrow elastic at cuffs."
https://www2.hm.com/en_us/productpage.0975845051.html,High Waist Joggers,"Sweatpant joggers in soft fabric. High waist, drawstring waistband with smocked elastic, and side pockets. Gently tapered legs with smocked elastic at hems."
https://www2.hm.com/en_us/productpage.1190991001.html,Button-front Shorts,Shorts in jersey with decorative metal buttons at front. High waist and covered elastic at waistband.
https://www2.hm.com/en_us/productpage.0993762016.html,Hooded Jacket,"Sweatshirt jacket with a lined, drawstring hood, zipper at front, and front pockets. Dropped shoulders, long sleeves, and ribbing at cuffs and hem. Soft, brushed inside."
https://www2.hm.com/en_us/productpage.1179575002.html,Jersey Skirt,"Calf-length skirt in jersey. Concealed, elasticized waistband with narrow, decorative ties and a gathered seam at top for a gently draped effect."
https://www2.hm.com/en_us/productpage.0949410006.html,High Waist Bermuda Shorts,"Longer, 5-pocket shorts in cotton denim. High waist, zip fly with button, and cut-off, raw-edge hems."
https://www2.hm.com/en_us/productpage.1166439010.html,Rhinestone-strap Camisole Top,"A-line camisole top in softly draped satin with a draped neckline. Narrow, rhinestone chain shoulder straps joined at back."
https://www2.hm.com/en_us/productpage.1157954002.html,Linen-blend Pants,"Loose-fit pants in airy, woven, linen-blend fabric. Low waist, narrow drawstring and covered elastic at waistband, and straight, wide legs. Discreet side pockets and open back pockets."
https://www2.hm.com/en_us/productpage.1065424007.html,V-neck Cotton Blouse,"Short-sleeved blouse in woven cotton fabric. Collar, V-shaped opening at top, and gathered seams at shoulders and at back. Rounded hem, slightly longer at back."
https://www2.hm.com/en_us/productpage.1141812004.html,2-pack Crop T-shirts,Fitted crop T-shirts in soft cotton jersey.
https://www2.hm.com/en_us/productpage.1172038001.html,Linen-blend Mini Skirt,Mini skirt in a woven viscose and linen blend. Low waist and a concealed zipper at back with a button. Lined.
